user_id,item_id,category_id,price,user_age,item_popularity,label
253,107,7,12.1104,57,0.0379,1
357,7,7,11.3587,21,0.3032,0
330,36,9,10.9206,29,0.3547,1
336,152,10,24.6539,43,0.2241,1
119,78,6,22.1092,58,0.0978,1
216,172,8,24.2859,44,0.0965,1
472,43,4,5.5888,59,0.3459,1
271,41,8,25.7554,38,0.1144,1
437,17,2,23.0948,39,0.1078,1
445,84,7,39.0083,22,0.229,0
268,12,8,23.165,35,0.2281,1
458,182,5,7.0516,24,0.1768,0
124,136,7,13.5653,42,0.3457,1
126,84,7,39.0083,41,0.229,1
168,26,5,24.8815,56,0.1674,1
54,116,1,36.6588,55,0.2497,1
423,123,5,22.3303,55,0.39,1
19,70,8,19.6003,25,0.4947,0
393,176,8,25.3178,52,0.2025,1
463,115,6,16.5006,25,0.6382,1
439,11,10,26.0666,36,0.6046,0
1,35,1,8.3105,33,0.183,0
364,98,7,15.8511,39,0.4374,1
381,19,5,52.5133,46,0.8163,1
186,191,7,17.2673,43,0.2625,0
176,77,3,51.8033,38,0.1299,1
119,121,7,17.5611,58,0.277,1
394,109,8,11.8593,54,0.2798,0
496,85,8,25.9781,48,0.1919,1
297,10,6,7.125,51,0.3253,1
20,87,4,22.4197,39,0.1715,0
44,49,8,38.0762,19,0.2472,0
494,137,1,5.538,19,0.5077,1
41,31,3,15.8967,54,0.2521,1
121,135,4,12.9688,28,0.179,0
441,147,3,10.4013,42,0.0723,0
92,152,10,24.6539,25,0.2241,0
290,151,3,16.1037,45,0.3009,0
449,167,2,22.0488,23,0.1632,0
206,161,7,17.4109,31,0.3094,0
295,96,3,11.7419,49,0.2498,0
284,103,1,21.2074,33,0.1507,0
75,87,4,22.4197,48,0.1715,0
390,160,10,8.8027,59,0.3837,0
305,50,8,22.0702,30,0.1359,0
51,152,10,24.6539,19,0.2241,0
106,182,5,7.0516,34,0.1768,0
331,116,1,36.6588,40,0.2497,1
365,195,1,17.4247,26,0.2611,1
238,145,9,72.0635,53,0.2707,0
398,89,9,8.8384,43,0.3667,1
232,38,3,33.2108,23,0.1276,0
403,103,1,21.2074,23,0.1507,1
56,144,10,8.3292,53,0.6272,1
431,176,8,25.3178,49,0.2025,1
290,41,8,25.7554,45,0.1144,1
373,103,1,21.2074,55,0.1507,0
80,151,3,16.1037,27,0.3009,0
187,69,5,18.2838,37,0.285,1
142,56,6,58.0183,36,0.3254,0
119,34,9,17.5783,58,0.4683,0
239,66,10,11.6843,47,0.2482,1
157,50,8,22.0702,37,0.1359,1
213,159,8,18.5358,32,0.4471,0
112,68,1,25.3042,55,0.5316,0
147,127,8,90.9659,32,0.2112,0
186,193,4,48.5646,43,0.3192,0
331,164,5,14.3939,40,0.1968,0
178,99,2,20.0239,38,0.2303,0
310,16,6,14.6187,31,0.0688,0
53,193,4,48.5646,20,0.3192,1
246,168,4,24.8052,35,0.2045,0
210,46,5,15.6549,20,0.2823,0
345,186,2,15.1361,22,0.1935,0
264,26,5,24.8815,59,0.1674,1
311,140,10,14.6192,59,0.2743,1
344,65,4,33.2181,34,0.1251,1
414,31,3,15.8967,44,0.2521,0
60,131,6,8.3473,53,0.3558,0
246,156,2,32.0213,35,0.2972,0
8,55,1,19.4477,53,0.5206,1
137,42,8,11.0926,33,0.1495,1
254,36,9,10.9206,52,0.3547,1
26,32,1,8.7933,55,0.5636,0
395,126,1,23.0332,54,0.5236,0
128,160,10,8.8027,53,0.3837,0
421,28,6,9.8428,23,0.3568,0
111,13,8,14.0625,59,0.3119,1
156,79,7,18.7055,31,0.1186,1
40,56,6,58.0183,36,0.3254,0
401,169,1,20.7365,42,0.0834,0
209,126,1,23.0332,28,0.5236,0
279,7,7,11.3587,52,0.3032,0
184,109,8,11.8593,27,0.2798,1
65,66,10,11.6843,41,0.2482,0
318,125,6,21.2062,25,0.0351,0
212,125,6,21.2062,33,0.0351,0
283,95,3,10.3374,42,0.2006,1
40,88,8,9.6342,36,0.0913,0
493,8,3,16.3885,46,0.4845,0
219,57,2,21.7185,52,0.4527,0
432,129,7,12.0378,55,0.2133,0
36,122,7,23.2312,20,0.5272,0
445,102,9,46.7348,22,0.0826,0
319,142,3,18.9811,39,0.2839,1
37,57,2,21.7185,27,0.4527,1
254,56,6,58.0183,52,0.3254,0
424,79,7,18.7055,52,0.1186,0
132,44,1,23.5854,19,0.261,0
73,88,8,9.6342,41,0.0913,0
218,17,2,23.0948,26,0.1078,0
406,6,1,17.7562,52,0.3061,0
5,69,5,18.2838,31,0.285,0
278,65,4,33.2181,22,0.1251,0
3,52,4,10.7899,50,0.6677,0
335,94,9,48.2727,25,0.4686,0
422,41,8,25.7554,23,0.1144,1
409,24,8,45.4,28,0.3748,0
321,83,9,15.6966,59,0.067,1
78,191,7,17.2673,33,0.2625,1
409,84,7,39.0083,28,0.229,0
262,183,7,35.039,39,0.2333,0
440,93,4,15.96,47,0.0834,0
114,8,3,16.3885,26,0.4845,0
44,170,2,20.0866,19,0.0689,0
211,51,2,18.2619,40,0.5569,1
422,133,6,24.273,23,0.1793,0
357,105,8,5.8702,21,0.4087,0
475,125,6,21.2062,43,0.0351,1
20,81,5,43.9741,39,0.1804,1
273,39,7,66.5557,46,0.192,1
368,163,5,23.0877,18,0.047,0
118,107,7,12.1104,46,0.0379,0
253,134,8,41.4096,57,0.4591,0
230,177,2,12.7072,44,0.2928,0
347,164,5,14.3939,57,0.1968,0
15,95,3,10.3374,28,0.2006,0
142,78,6,22.1092,36,0.0978,0
90,61,8,11.2563,25,0.3265,0
461,109,8,11.8593,39,0.2798,0
387,87,4,22.4197,27,0.1715,1
433,174,7,70.5203,20,0.1898,0
136,185,5,10.3165,43,0.101,1
158,113,5,20.4581,42,0.5723,1
374,166,4,36.8785,55,0.1288,1
48,182,5,7.0516,53,0.1768,0
396,118,3,44.8103,26,0.4242,0
352,8,3,16.3885,19,0.4845,0
35,53,5,7.3536,39,0.0677,0
146,130,6,16.9043,53,0.2029,0
400,19,5,52.5133,55,0.8163,1
464,38,3,33.2108,22,0.1276,1
163,122,7,23.2312,33,0.5272,1
107,177,2,12.7072,25,0.2928,1
372,19,5,52.5133,32,0.8163,0
429,60,10,9.8654,48,0.0468,0
168,192,7,22.0109,56,0.5036,0
376,143,5,6.9962,34,0.1615,1
24,119,2,18.3072,24,0.4904,0
67,190,7,18.8763,43,0.2825,1
30,80,10,23.8431,24,0.4443,1
265,26,5,24.8815,59,0.1674,0
496,55,1,19.4477,48,0.5206,1
168,19,5,52.5133,56,0.8163,0
332,32,1,8.7933,53,0.5636,1
35,29,5,13.6829,39,0.5582,0
287,29,5,13.6829,36,0.5582,0
